15:40:33.519 [ApplicationImpl pooled thread 936] INFO  c.b.l.BrowserStackRunExtension - testng
15:40:33.519 [ApplicationImpl pooled thread 936] INFO  com.browserstack.utils.Helpers - null
15:40:33.520 [ApplicationImpl pooled thread 936] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:49:14.116 [ApplicationImpl pooled thread 957] INFO  c.b.l.BrowserStackRunExtension - testng
15:49:14.116 [ApplicationImpl pooled thread 957] INFO  com.browserstack.utils.Helpers - null
15:49:14.117 [ApplicationImpl pooled thread 957] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:52:05.376 [ApplicationImpl pooled thread 970] INFO  c.b.l.BrowserStackRunExtension - testng
15:52:05.376 [ApplicationImpl pooled thread 970] INFO  com.browserstack.utils.Helpers - null
15:52:05.377 [ApplicationImpl pooled thread 970] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:56:23.505 [ApplicationImpl pooled thread 979] INFO  c.b.l.BrowserStackRunExtension - testng
15:56:23.505 [ApplicationImpl pooled thread 979] INFO  com.browserstack.utils.Helpers - null
15:56:23.506 [ApplicationImpl pooled thread 979] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:01:15.722 [ApplicationImpl pooled thread 993] INFO  c.b.l.BrowserStackRunExtension - testng
16:01:15.722 [ApplicationImpl pooled thread 993] INFO  com.browserstack.utils.Helpers - null
16:01:15.723 [ApplicationImpl pooled thread 993] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:02:39.368 [ApplicationImpl pooled thread 992] INFO  c.b.l.BrowserStackRunExtension - testng
16:02:39.368 [ApplicationImpl pooled thread 992] INFO  com.browserstack.utils.Helpers - null
16:02:39.369 [ApplicationImpl pooled thread 992] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
16:06:39.460 [ApplicationImpl pooled thread 992] INFO  c.b.l.BrowserStackRunExtension - testng
16:06:39.460 [ApplicationImpl pooled thread 992] INFO  com.browserstack.utils.Helpers - null
16:06:39.461 [ApplicationImpl pooled thread 992] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:52:46.162 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - testng
19:52:46.162 [ApplicationImpl pooled thread 1098] INFO  com.browserstack.utils.Helpers - null
19:52:46.164 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:53:24.278 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - testng
19:53:24.278 [ApplicationImpl pooled thread 1098] INFO  com.browserstack.utils.Helpers - null
19:53:24.280 [ApplicationImpl pooled thread 1098] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:56:24.565 [ApplicationImpl pooled thread 1101] INFO  c.b.l.BrowserStackRunExtension - testng
19:56:24.566 [ApplicationImpl pooled thread 1101] INFO  com.browserstack.utils.Helpers - null
19:56:24.566 [ApplicationImpl pooled thread 1101] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:59:20.542 [ApplicationImpl pooled thread 1100] INFO  c.b.l.BrowserStackRunExtension - testng
19:59:20.543 [ApplicationImpl pooled thread 1100] INFO  com.browserstack.utils.Helpers - null
19:59:20.544 [ApplicationImpl pooled thread 1100] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:07:13.357 [ApplicationImpl pooled thread 1121] INFO  c.b.l.BrowserStackRunExtension - testng
20:07:13.357 [ApplicationImpl pooled thread 1121] INFO  com.browserstack.utils.Helpers - null
20:07:13.358 [ApplicationImpl pooled thread 1121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:11:03.332 [ApplicationImpl pooled thread 1121] INFO  c.b.l.BrowserStackRunExtension - testng
20:11:03.333 [ApplicationImpl pooled thread 1121] INFO  com.browserstack.utils.Helpers - null
20:11:03.335 [ApplicationImpl pooled thread 1121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:20:18.436 [ApplicationImpl pooled thread 1135] INFO  c.b.l.BrowserStackRunExtension - testng
20:20:18.436 [ApplicationImpl pooled thread 1135] INFO  com.browserstack.utils.Helpers - null
20:20:18.437 [ApplicationImpl pooled thread 1135] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
20:21:02.600 [ApplicationImpl pooled thread 1136] INFO  c.b.l.BrowserStackRunExtension - testng
